t,f_05,f_1,f_2,f_5,f_10,f_20,f_50
0.0597194388777555,206441.729882445,103190.743169558,51565.0485290095,20583.3323463305,10252.7425425089,5122.18474672147,1912.6270240451
0.0601202404809619,206764.785158647,103357.497559168,51652.5297328164,20649.3482997855,10289.3794166735,5216.11224593357,1980.16618224042
0.0605210420841683,206762.581180121,103378.328097366,51642.268933517,20635.4620587347,10343.3600327224,5239.7813812979,1942.26933916735
0.0609218436873748,206514.123136294,103251.617895966,51637.8155742508,20621.8782552949,10324.8106270292,5262.80028026448,1983.32363021938
0.0613226452905812,206121.041794697,103032.902646691,51537.8134676238,20606.4960946232,10319.4481767106,5265.44656892802,2035.26559334804
0.0617234468937876,207480.743056941,103674.608853312,51786.929975174,20596.8941626813,10290.1551450667,5267.87610013065,2026.02523093391
0.062124248496994,208874.733181378,104368.423604368,52119.2659236328,20776.8984023508,10287.3325890093,5273.22647033452,2030.47280889015
0.0625250501002004,210330.529918178,105077.135831661,52452.6354391564,20882.6648402369,10388.5484799746,5262.35106618661,2055.3147469314
0.0629258517034068,211763.056364914,105815.171428651,52837.2389726373,21033.5251630154,10443.7282777972,5283.66209444176,2012.29084416321
0.0633266533066132,206643.610491916,103459.368511113,52136.0803324055,21086.5505956249,10533.3276882281,5314.22811917527,2025.5978582563
0.0637274549098196,206402.184673968,103139.533826527,51537.5493491205,20502.8226649427,10472.0101371444,5339.0353494732,2057.77453195812
0.064128256513026,207669.397685407,103772.84530922,51851.0941864424,20672.3187476001,10291.9946195371,5374.93996503349,2044.14411904698
0.0645290581162325,208952.697277136,104446.405001254,52169.8611802572,20784.9072494234,10327.3245373452,5405.68987390091,2084.74538750949
0.0649298597194389,210190.525697028,105042.488769887,52463.5442240546,20923.4916286988,10409.8085905293,5416.68249277966,2044.97348834543
0.0653306613226453,211488.293893528,105671.063202888,52762.3465417058,21026.376836424,10512.4904326231,5315.25016565444,2073.08759138443
0.0657314629258517,212779.107010794,106310.524643192,53095.3439598037,21165.6533097483,10511.9883495924,5332.11375820798,2077.65005203832
0.0661322645290581,214066.053607674,106961.563059113,53425.5566649588,21283.5904124336,10557.4727791932,5325.07480486936,2071.04720846789
0.0665330661322645,215385.086052184,107612.004067762,53763.6579060855,21401.1180836529,10622.5234856945,5366.47058823529,2114.77237498836
0.0669338677354709,216697.537910137,108264.989810756,54065.2122213608,21528.3636704129,10693.6751391685,5411.31817327148,2102.35940650699
0.0673346693386774,218039.081885623,108952.076126789,54408.8702434545,21648.0088410314,10767.6229448662,5418.4747855213,2165.89163448133
0.0677354709418838,219687.17752122,109743.964201282,54789.1187987272,21805.1175752341,10813.9522058063,5432.57587732275,2104.68656774101
0.0681362725450902,221340.19904215,110565.399445788,55204.1361653097,21963.2011270693,10877.4279704823,5465.86437135874,2112.54891873243
0.0685370741482966,222862.844075551,111358.524510985,55604.4152817041,22129.0699077776,10969.5308676128,5499.40461335016,2138.55246890783
0.068937875751503,224303.387375755,112062.523710232,55949.4010987843,22275.7723374655,11055.5072031553,5538.02803658678,2152.53328606054
0.0693386773547094,225632.669391705,112750.805162018,56301.4514921795,22400.2435481445,11126.6786000371,5595.80705017465,2193.64426573173
0.0697394789579158,226850.79900654,113346.935709697,56607.8027281941,22557.8566339471,11198.1664902051,5638.77492719908,2192.70404529326
0.0701402805611222,227752.160567356,113830.764110915,56902.9383205806,22666.7692475417,11246.9049644125,5679.16101922972,2193.31285964588
0.0705410821643287,228516.94164881,114196.780420217,57072.9064625295,22746.3603142666,11298.4374020547,5711.83871628303,2194.33254988798
0.0709418837675351,229658.309335477,114755.374724666,57327.0711074942,22840.0996075707,11365.93625498,5732.16089389052,2189.62177302355
0.0713426853707415,231094.205660179,115503.007341639,57693.2105703123,22956.8102712321,11418.8191695803,5771.49779412077,2192.4689488624
0.0717434869739479,230907.507939647,115439.075641445,57717.7779531928,23061.8928274249,11477.3248615603,5797.57421035388,2220.37855932035
0.0721442885771543,230494.103763739,115249.06902651,57639.7014406019,23027.2344285554,11526.7745648611,5846.19237559337,2236.7521147601
0.0725450901803607,229876.022527799,114927.182328577,57480.4488201831,23012.4013720715,11523.9610186316,5865.98514245979,2266.388080753
0.0729458917835671,228908.603646771,114498.377377317,57275.9376145537,22924.8181203448,11496.476937237,5879.37271270118,2259.97344659201
